Time,Data
14:42:09,the car stop moving
14:42:09,AXT= -0.90 AYT= 2.63 AZT= 2.78 GX= -6.84 GY= 0.02 GZ= 0.68 AXL= 0.11 AYL= -0.47 AZL= -8.74 GXYZ= 6.87
14:42:09,AXYZ= 0.48
14:42:09,the car stop moving
14:42:09,AXT= -0.89 AYT= 2.61 AZT= 2.76 GX= -7.06 GY= 0.02 GZ= 0.63 AXL= 0.10 AYL= -0.46 AZL= -8.73 GXYZ= 7.09
14:42:09,AXYZ= 0.48
14:42:09,the car stop moving
14:42:09,AXT= -0.78 AYT= 3.11 AZT= 3.20 GX= -7.11 GY= 0.13 GZ= 0.70 AXL= 0.08 AYL= -0.55 AZL= -8.74 GXYZ= 7.15
14:42:09,AXYZ= 0.55
14:42:09,the car stop moving
14:42:09,AXT= -0.78 AYT= 2.65 AZT= 2.76 GX= -6.92 GY= 0.15 GZ= 0.60 AXL= 0.08 AYL= -0.47 AZL= -8.74 GXYZ= 6.95
14:42:09,AXYZ= 0.48
14:42:09,the car stop moving
14:42:09,AXT= -0.75 AYT= 2.93 AZT= 3.02 GX= -6.99 GY= -0.02 GZ= 0.68 AXL= 0.07 AYL= -0.52 AZL= -8.74 GXYZ= 7.03
14:42:09,AXYZ= 0.52
14:42:09,the car stop moving
14:42:09,AXT= -0.60 AYT= 2.89 AZT= 2.95 GX= -6.85 GY= 0.19 GZ= 0.59 AXL= 0.05 AYL= -0.51 AZL= -8.73 GXYZ= 6.88
14:42:09,AXYZ= 0.51
14:42:09,the car stop moving
14:42:09,AXT= -0.67 AYT= 2.63 AZT= 2.71 GX= -6.89 GY= 0.09 GZ= 0.60 AXL= 0.07 AYL= -0.46 AZL= -8.73 GXYZ= 6.92
14:42:09,AXYZ= 0.47
14:42:09,the car stop moving
14:42:09,AXT= -0.85 AYT= 2.94 AZT= 3.06 GX= -7.07 GY= 0.60 GZ= 0.65 AXL= 0.09 AYL= -0.52 AZL= -8.73 GXYZ= 7.12
14:42:09,AXYZ= 0.53
14:42:09,the car stop moving
14:42:09,AXT= -0.99 AYT= 2.83 AZT= 3.00 GX= -7.15 GY= 0.55 GZ= 0.52 AXL= 0.12 AYL= -0.50 AZL= -8.72 GXYZ= 7.19
14:42:09,AXYZ= 0.52
14:42:09,the car stop moving
14:42:10,AXT= -0.78 AYT= 2.26 AZT= 2.39 GX= -7.03 GY= 0.05 GZ= 0.79 AXL= 0.09 AYL= -0.40 AZL= -8.76 GXYZ= 7.08
14:42:10,AXYZ= 0.41
14:42:10,the car stop moving
14:42:10,AXT= -0.77 AYT= 2.68 AZT= 2.79 GX= -6.92 GY= 0.10 GZ= 0.66 AXL= 0.08 AYL= -0.47 AZL= -8.74 GXYZ= 6.96
14:42:10,AXYZ= 0.48
14:42:10,the car stop moving
14:42:10,AXT= -0.42 AYT= 2.54 AZT= 2.57 GX= -6.95 GY= 0.29 GZ= 0.76 AXL= 0.02 AYL= -0.44 AZL= -8.74 GXYZ= 7.00
14:42:10,AXYZ= 0.44
14:42:10,the car stop moving
14:42:10,AXT= -0.58 AYT= 2.62 AZT= 2.68 GX= -7.03 GY= -0.08 GZ= 0.86 AXL= 0.05 AYL= -0.46 AZL= -8.75 GXYZ= 7.08
14:42:10,AXYZ= 0.46
14:42:10,the car stop moving
14:42:10,AXT= -1.06 AYT= 2.85 AZT= 3.04 GX= -7.05 GY= 0.11 GZ= 0.62 AXL= 0.13 AYL= -0.51 AZL= -8.74 GXYZ= 7.07
14:42:10,AXYZ= 0.52
14:42:10,the car stop moving
14:42:10,AXT= -0.74 AYT= 2.50 AZT= 2.61 GX= -7.06 GY= 0.00 GZ= 0.81 AXL= 0.08 AYL= -0.44 AZL= -8.75 GXYZ= 7.11
14:42:10,AXYZ= 0.45
14:42:10,the car stop moving
14:42:10,AXT= -0.58 AYT= 2.71 AZT= 2.77 GX= -7.02 GY= 0.22 GZ= 0.64 AXL= 0.05 AYL= -0.47 AZL= -8.74 GXYZ= 7.05
14:42:10,AXYZ= 0.48
14:42:10,the car stop moving
14:42:10,AXT= -0.98 AYT= 3.05 AZT= 3.20 GX= -6.96 GY= 0.02 GZ= 0.68 AXL= 0.11 AYL= -0.54 AZL= -8.74 GXYZ= 6.99
14:42:10,AXYZ= 0.55
14:42:10,the car stop moving
14:42:10,AXT= -0.65 AYT= 2.76 AZT= 2.83 GX= -7.05 GY= 0.14 GZ= 0.81 AXL= 0.06 AYL= -0.48 AZL= -8.75 GXYZ= 7.10
14:42:10,AXYZ= 0.49
14:42:10,the car stop moving
14:42:10,AXT= -0.57 AYT= 2.83 AZT= 2.88 GX= -6.98 GY= 0.07 GZ= 0.74 AXL= 0.05 AYL= -0.49 AZL= -8.74 GXYZ= 7.02
14:42:10,AXYZ= 0.50
14:42:10,the car stop moving
14:42:10,AXT= -0.85 AYT= 2.39 AZT= 2.54 GX= -6.92 GY= 0.02 GZ= 0.66 AXL= 0.10 AYL= -0.43 AZL= -8.74 GXYZ= 6.96
14:42:10,AXYZ= 0.44
14:42:10,the car stop moving
14:42:10,AXT= -0.52 AYT= 2.50 AZT= 2.55 GX= -6.98 GY= 0.24 GZ= 0.71 AXL= 0.04 AYL= -0.44 AZL= -8.74 GXYZ= 7.02
14:42:10,AXYZ= 0.44
14:42:10,the car stop moving
14:42:10,AXT= -0.57 AYT= 2.50 AZT= 2.57 GX= -6.98 GY= 0.29 GZ= 0.39 AXL= 0.05 AYL= -0.44 AZL= -8.75 GXYZ= 7.00
14:42:10,AXYZ= 0.44
14:42:10,the car stop moving
14:42:10,AXT= -0.80 AYT= 2.82 AZT= 2.93 GX= -6.95 GY= 0.24 GZ= 0.62 AXL= 0.09 AYL= -0.50 AZL= -8.74 GXYZ= 6.99
14:42:10,AXYZ= 0.50
14:42:10,the car stop moving
14:42:11,AXT= -1.00 AYT= 2.87 AZT= 3.04 GX= -6.94 GY= 0.21 GZ= 0.58 AXL= 0.12 AYL= -0.51 AZL= -8.75 GXYZ= 6.97
14:42:11,AXYZ= 0.52
14:42:11,the car stop moving
14:42:11,AXT= -0.84 AYT= 2.67 AZT= 2.80 GX= -7.03 GY= 0.08 GZ= 0.76 AXL= 0.09 AYL= -0.47 AZL= -8.75 GXYZ= 7.07
14:42:11,AXYZ= 0.48
14:42:11,the car stop moving
14:42:11,AXT= -0.95 AYT= 3.35 AZT= 3.48 GX= -6.95 GY= 0.11 GZ= 0.82 AXL= 0.10 AYL= -0.59 AZL= -8.74 GXYZ= 7.00
14:42:11,AXYZ= 0.60
14:42:11,the car stop moving
14:42:11,AXT= -1.05 AYT= 3.23 AZT= 3.40 GX= -6.96 GY= 0.12 GZ= 0.67 AXL= 0.12 AYL= -0.57 AZL= -8.75 GXYZ= 7.00
14:42:11,AXYZ= 0.58
14:42:11,the car stop moving
